customer_id,customer_name,region,signup_date
1,Allison Hill,NA,2025-02-12
2,Megan Mcclain,NA,2024-11-04
3,Allen Robinson,APAC,2025-09-06
4,Cristian Santos,EMEA,2025-10-05
5,Kevin Pacheco,EMEA,2024-09-06
6,Melissa Peterson,EMEA,2024-12-24
7,Gabrielle Davis,NA,2024-11-11
8,Lindsey Roman,NA,2026-02-17
9,Valerie Gray,LATAM,2025-10-10
10,Lisa Hensley,NA,2025-10-29
11,Amber Perez,NA,2025-04-01
12,David Garcia,NA,2025-03-24
13,Holly Wood,EMEA,2025-02-02
14,Timothy Wong,EMEA,2025-11-21
15,Nicholas Martin,NA,2025-06-06
16,Margaret Hawkins DDS,EMEA,2026-05-11
17,Crystal Johnson,LATAM,2025-04-20
18,Daniel Hahn,EMEA,2026-06-04
19,Matthew Foster,LATAM,2026-07-02
20,Derek Wright,APAC,2025-10-17
21,Kevin Hurst,NA,2025-06-20
22,Zachary Hicks,EMEA,2024-11-07
23,Brian Burton,LATAM,2026-04-04
24,Arthur James,APAC,2026-08-31
25,Tricia Valencia,APAC,2024-09-10
26,Melanie Herrera,EMEA,2025-03-16
27,Ashley Graham,EMEA,2025-07-30
28,Sherri Baker,APAC,2025-09-02
29,Thomas Harrell,NA,2025-04-08
30,Lisa Hernandez,NA,2026-03-13
31,Paula Moreno,LATAM,2024-09-02
32,Alec Hickman,NA,2026-06-06
33,Elizabeth Brown,APAC,2026-06-05
34,Angelica Tucker,APAC,2024-10-22
35,Pamela Anderson,APAC,2025-08-15
36,Deborah Brennan,NA,2025-07-08
37,Joshua Blair,LATAM,2025-01-27
38,Zachary Santos,NA,2025-07-19
39,Barbara Walker,LATAM,2025-05-07
40,Crystal Robinson,NA,2024-10-23
41,Crystal Whitehead,APAC,2026-05-23
42,David Caldwell,APAC,2025-02-05
43,Timothy Duncan,EMEA,2025-08-13
44,Rhonda Lee,NA,2024-11-11
45,Jeff Owens,NA,2026-02-16
46,Victoria Garcia,EMEA,2025-06-23
47,Scott Wright,APAC,2025-01-19
48,Javier Ramirez,NA,2025-03-03
49,Jessica Callahan,EMEA,2025-10-09
50,Zachary Huff,NA,2026-08-11
51,Sarah Martin,LATAM,2025-08-23
52,James Brown,APAC,2025-06-06
53,Mrs. Rachel Gibson,LATAM,2025-07-08
54,Whitney Peters,APAC,2026-02-09
55,Edward Novak,EMEA,2025-10-30
56,Nicole Brown,APAC,2025-11-03
57,Sarah Moore,APAC,2026-08-05
58,Cody Larson,EMEA,2026-01-08
59,Bryan Zamora,APAC,2025-02-28
60,Lisa Barnes,NA,2025-11-02
61,Taylor Harris,EMEA,2026-02-07
62,James Powers,EMEA,2025-04-09
63,Paul Jones,EMEA,2025-08-03
64,Dr. Angel Lewis MD,LATAM,2026-07-16
65,Sherry Wood,LATAM,2024-12-26
66,Michele Carr,APAC,2026-08-24
67,Aimee Montoya,EMEA,2025-04-08
68,Teresa Taylor,APAC,2024-11-25
69,Juan Nelson,NA,2025-11-18
70,Christina Walters,EMEA,2025-03-13
71,Taylor Mathis Jr.,NA,2025-07-08
72,Aaron Wise,APAC,2025-12-11
73,Patrick Arnold,LATAM,2025-07-11
74,Benjamin Ware,APAC,2026-06-24
75,Sandra Aguilar,NA,2024-12-19
76,Eric Nolan,EMEA,2026-04-06
77,Stephanie Clark,APAC,2025-03-03
78,Richard Henson,EMEA,2025-06-26
79,Brittany Spears,LATAM,2026-05-27
80,Rita Keith,LATAM,2024-09-20
81,Evelyn Galvan,LATAM,2026-04-11
82,Rita Adams,EMEA,2026-03-31
83,Shane Garrison,APAC,2025-02-11
84,Julia Torres,EMEA,2026-04-06
85,Alexander Lee,EMEA,2025-04-29
86,Tracy Ramirez,APAC,2025-12-14
87,William Herrera,LATAM,2026-07-20
88,Wesley White,LATAM,2026-08-06
89,Brian Hamilton,APAC,2026-02-16
90,Larry Dixon,EMEA,2025-06-10
91,Dawn Fletcher,EMEA,2024-09-03
92,Kimberly Ball,LATAM,2026-02-26
93,Helen Jones,NA,2025-12-31
94,Erik Charles,NA,2026-02-10
95,Eric Ortiz,NA,2025-06-23
96,Cameron Fisher,EMEA,2026-07-21
97,Stephanie Gilbert,EMEA,2025-04-09
98,April Mitchell,LATAM,2025-07-13
99,Mary Marshall,NA,2025-07-22
100,John Santana,LATAM,2026-04-06
101,Bradley Robertson,LATAM,2025-12-08
102,Robert Potter,LATAM,2026-01-06
103,Curtis Johnson,APAC,2025-02-27
104,Samuel Jones,NA,2025-07-01
105,Cheyenne Horton,NA,2025-08-29
106,Matthew Smith,APAC,2026-03-04
107,Ashley Coleman,APAC,2025-01-08
108,Kelly Williams,NA,2025-03-03
109,Joyce Solis,APAC,2026-01-02
110,Linda Dodson DVM,LATAM,2025-11-23
111,Kathy Rivas,EMEA,2025-10-07
112,Natasha Wells,LATAM,2025-03-10
113,Mark Cannon,NA,2025-09-18
114,Denise Jones,APAC,2025-03-29
115,Francisco Fernandez,EMEA,2024-12-12
116,Michael Mccarthy,NA,2024-10-18
117,Joshua Perry,APAC,2025-01-31
118,Taylor Silva,EMEA,2026-01-23
119,Pamela James,EMEA,2024-09-06
120,Paul Castaneda,APAC,2026-07-30
121,Paul Payne,EMEA,2025-11-16
122,Daniel Graham,NA,2024-09-23
123,Michael Powell,APAC,2024-12-31
124,Cameron Dean,LATAM,2024-09-21
125,Justin Johnson,NA,2025-12-15
126,Joel Williams,NA,2025-06-06
127,Gabriel Juarez,APAC,2025-06-06
128,Sandra King,APAC,2024-10-31
129,Joshua Cooke,EMEA,2025-05-15
130,Rachael Pearson,NA,2026-03-07
131,Christina Smith,EMEA,2024-12-22
132,Michael Elliott,NA,2025-02-08
133,Pamela Jackson,NA,2025-11-19
134,Ashley Weiss,LATAM,2026-08-08
135,Alexander Collins,NA,2026-01-10
136,Jennifer Espinoza,EMEA,2024-10-27
137,Lori Garcia,EMEA,2026-03-20
138,Lindsay Martinez,LATAM,2026-08-22
139,Hannah Patterson,EMEA,2025-05-30
140,Gloria Atkinson,APAC,2026-04-26
141,Tyler Reid,LATAM,2026-04-30
142,Jessica Gross,EMEA,2026-08-08
143,Robert Medina,EMEA,2025-08-21
144,Nicholas Adams,APAC,2026-05-17
145,Angelica Keith,LATAM,2025-02-27
146,Leonard Gray,APAC,2024-09-22
147,Catherine Lewis,LATAM,2026-04-08
148,Spencer Haynes,LATAM,2025-03-22
149,Travis Miller,NA,2026-02-10
150,Peter Vaughn DDS,EMEA,2025-08-26
151,Anna Walker,EMEA,2026-01-20
152,Kevin Kennedy,NA,2025-09-25
153,Patrick Rivera,APAC,2026-01-28
154,David Martinez,NA,2025-01-20
155,Joshua Gill,EMEA,2025-01-15
156,John Hardy,EMEA,2026-08-16
157,Diane Garcia,NA,2025-01-21
158,Christopher Smith,NA,2025-09-27
159,William Tran,NA,2026-01-24
160,Sean Henry,EMEA,2026-06-01
161,Julie Alexander,NA,2025-01-14
162,Todd Woods,NA,2026-04-25
163,Benjamin Soto,APAC,2024-10-11
164,Justin Torres,NA,2026-08-29
165,Phillip Obrien,EMEA,2026-04-03
166,Joseph Hayes,APAC,2025-07-22
